Model,FeatureSelection,Scaler,Numberoffeatures,Rmse,R2Score(train),R2Score(test),Params
VotingRegressor,SFS,MinMaxScaler(),16,211863.8198896525,0.7583617517426586,0.7030873505042816,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,-,16,211871.6194144716,0.7580863581361821,0.7030654891009859,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,MinMaxScaler(),12,211885.8507422309,0.7574165029851472,0.7030255978283274,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,StandardScaler(),12,211981.74855987105,0.7574749042336866,0.7027567205843748,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,-,12,212067.5927647235,0.7571645956963715,0.7025159283487137,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SelectKBest,-,19,212306.8088712573,0.7595846467473576,0.701844414922099,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SelectKBest,StandardScaler(),19,212593.5546790243,0.7597887449684932,0.7010384812822688,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,RobustScaler(),7,213839.06993181875,0.7530661747981149,0.6975251866067003,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,StandardScaler(),7,213911.137883167,0.753035825047771,0.6973212723879969,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
VotingRegressor,SFS,-,7,213961.808972454,0.7526211049641683,0.697177858842551,"{'estimators':[('lr',LinearRegressor()),('rf',RandomForestRegressor(n_estimators=10,random_state=42)),('SVR',SVR())],'n_jobs':20,'verbose':False,'weights':None,'lr':LinearRegressor(),'rf':RandomForestRegressor(n_estimators=10,random_state=42),'SVR':SVR(),'lr__copy_X':True,'lr__fit_intercept':True,'lr__n_jobs':None,'lr__positive':False,'rf__bootstrap':True,'rf__ccp_alpha':0.0,'rf__criterion':'squared_error','rf__max_depth':None,'rf__max_features':1.0,'rf__max_leaf_nodes':None,'rf__max_samples':None,'rf__min_impurity_decrease':0.0,'rf__min_samples_leaf':1,'rf__min_samples_split':2,'rf__min_weight_fraction_leaf':0.0,'rf__n_estimators':10,'rf__n_jobs':None,'rf__oob_score':False,'rf__random_state':42,'rf__verbose':0,'rf__warm_start':False,'SVR__C':1.0,'SVR__cache_size':200,'SVR__coef0':0.0,'SVR__degree':3,'SVR__epsilon':0.1,'SVR__gamma':'scale','SVR__kernel':'rbf','SVR__max_iter':-1,'SVR__shrinking':True,'SVR__tol':0.001,'SVR__verbose':False}"
