Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
SVR,SelectKBest,MinMaxScaler(),7,749389.7124436584,-3.256098470600522,-2.7147582635758667,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,RobustScaler(),19,751524.1638559233,-3.281062445464298,-2.7359495416181656,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,-,7,751528.5811080951,-3.2811141006280886,-2.7359934595133417,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,-,12,751528.8872551465,-3.281117606145872,-2.735996503345988,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,StandardScaler(),12,755810.655898279,-3.331405530313017,-2.778688787720199,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,RobustScaler(),12,755810.6724940527,-3.3314057534083776,-2.77868895366193,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,-,-,22,755812.4918807708,-3.331426458454919,-2.778707145796598,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,-,19,755812.4918809368,-3.3314264584565603,-2.778707145798258,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,-,19,755812.4918809866,-3.3314264584571465,-2.7787071457987564,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,-,16,755812.491881136,-3.331426458458464,-2.77870714580025,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
