Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
AdaBoostRegressor,SFS,-,19,343516.215784168,0.1823294871715122,0.2194340732441543,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),16,348088.22035342094,0.1650690883309241,0.198518030059115,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,19,349767.1204657207,0.1458619588502694,0.1907679646384596,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,MinMaxScaler(),19,353208.8450965031,0.1300596161621182,0.1747638482675945,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),19,353327.8739821839,0.1270953799876429,0.1742075570431784,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SFS,RobustScaler(),19,353730.038789525,0.125798163621967,0.1723266204556328,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,19,359944.5639331656,0.1165361507110351,0.1429891074432958,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,RobustScaler(),19,359961.9943828418,0.1170192602070472,0.1429061032897525,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,RobustScaler(),19,362074.75616551295,0.0766609956371487,0.1328153186082419,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),19,362074.75616551295,0.0766609956371487,0.1328153186082419,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,16,370754.257020087,0.061213713003134,0.0907414439271064,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),12,376318.6651838786,0.0146036253330974,0.0632436990350463,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),12,380998.0424785929,-0.0094357275862624,0.0398024523387795,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,-,-,22,390790.2955936761,-0.0758806007994046,-0.0101890221737264,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,16,394534.4191704109,-0.0910603543715682,-0.0296387954625179,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
